client_id;ca_total;nb_achats;panier_moyen;nb_sessions;premiere_transaction;derniere_transaction;est_btob
c_1368;4446.89;337;13.195519287833829;145;2021-03-04 11:33:09.968591;2023-02-20 16:06:57.684562;False
c_6249;4428.74;316;14.014999999999999;139;2021-03-12 13:13:24.519050;2023-02-24 20:57:24.344699;False
c_5674;4422.4;325;13.607384615384614;146;2021-03-02 10:46:59.174284;2023-02-12 10:18:24.494836;False
c_4023;4417.05;367;12.035558583106267;146;2021-03-03 02:57:24.183180;2023-02-19 00:31:51.259731;False
c_8193;4416.92;117;37.75145299145299;54;2021-04-15 05:23:15.040844;2023-02-15 05:23:15.040844;False
c_243;4414.37;329;13.417537993920972;138;2021-03-04 19:12:44.282235;2023-02-25 06:44:13.144357;False
c_8159;4362.96;96;45.4475;59;2021-03-11 18:45:18.656360;2023-02-26 19:46:34.089246;False
c_50;4352.59;85;51.20694117647059;62;2021-03-01 10:42:13.523130;2023-02-28 23:51:29.318531;False
c_3290;4345.45;53;81.98962264150943;38;2021-03-12 21:34:16.751054;2023-01-14 15:54:04.010289;False
c_5935;4343.33;310;14.010741935483871;143;2021-03-02 19:45:57.632171;2023-02-13 19:48:14.750789;False
c_6;4334.5;83;52.22289156626506;43;2021-03-10 02:51:45.510164;2023-02-27 16:45:52.985718;False
c_5921;4331.8;354;12.236723163841809;151;2021-03-02 00:44:23.364340;2023-02-26 03:37:23.620115;False
c_580;4331.69;338;12.815650887573963;134;2021-03-01 00:02:38.311413;2023-02-27 13:14:46.806951;False
c_2538;4331.64;334;12.968982035928144;143;2021-03-02 01:33:43.575028;2023-02-23 01:57:08.570743;False
c_6573;4325.25;346;12.500722543352602;145;2021-03-05 08:20:12.077919;2023-02-27 23:02:52.099101;False
c_6409;4324.14;306;14.131176470588237;135;2021-03-04 10:00:37.650348;2023-02-25 08:06:39.483356;False
c_4669;4319.08;76;56.83;53;2021-04-05 20:29:15.615615;2023-02-16 18:16:35.305655;False
c_3347;4310.14;319;13.511410658307211;122;2021-03-03 17:30:53.945585;2023-02-27 09:12:12.653756;False
c_7244;4309.5199999999995;317;13.594700315457413;139;2021-03-20 12:58:13.202816;2023-02-25 22:11:02.399395;False
c_3699;4293.78;347;12.37400576368876;138;2021-03-10 18:22:20.674310;2023-02-28 21:15:25.077403;False
c_5993;4288.76;309;13.87948220064725;108;2021-03-11 02:44:27.243048;2023-02-09 20:37:09.083760;False
c_2982;4282.55;312;13.726121794871796;128;2021-03-13 10:16:52.236043;2023-02-27 17:33:52.830080;False
c_7150;4270.05;335;12.746417910447763;132;2021-03-08 15:25:00.326745;2023-02-22 11:35:14.888234;False
c_6536;4267.53;324;13.171388888888888;137;2021-03-01 08:10:05.540463;2023-02-28 03:14:46.247757;False
c_7208;4265.7;326;13.084969325153374;144;2021-03-15 13:27:43.542336;2023-02-25 08:44:41.597468;False
c_8163;4260.85;323;13.191486068111455;125;2021-03-01 05:39:00.239521;2023-02-14 01:54:54.552541;False
c_6407;4251.85;318;13.37059748427673;134;2021-04-05 08:41:08.718888;2023-02-23 17:26:29.760423;False
c_1149;4244.04;77;55.117402597402595;59;2021-03-15 11:23:53.657586;2023-02-16 02:14:21.136433;False
c_8327;4242.73;318;13.34191823899371;117;2021-03-30 05:50:11.091026;2023-02-25 21:06:17.604199;False
c_6950;4231.4;329;12.861398176291793;128;2021-03-07 04:10:02.505948;2023-02-18 02:20:26.453449;False
c_1410;4226.47;301;14.041428571428572;138;2021-03-07 18:07:25.084890;2023-02-24 06:39:35.728170;False
c_1240;4225.63;71;59.515915492957745;46;2021-03-05 19:11:30.013489;2023-02-09 13:34:09.768384;False
c_5279;4207.48;315;13.357079365079363;139;2021-03-13 01:35:12.346307;2023-02-28 02:40:39.532928;False
c_2220;4205.45;304;13.833717105263156;123;2021-03-02 02:45:50.989050;2023-02-28 04:02:00.106472;False
c_4263;4201.18;329;12.76954407294833;133;2021-03-27 03:19:04.221509;2023-02-23 09:02:59.742222;False
c_699;4200.07;290;14.482999999999999;124;2021-03-16 10:21:57.753255;2023-02-17 15:33:17.201715;False
c_5449;4194.0;303;13.841584158415841;115;2021-03-01 07:18:05.371020;2023-02-27 13:49:47.761084;False
c_5835;4187.22;330;12.688545454545455;135;2021-03-04 08:37:52.584507;2023-02-27 10:55:45.370926;False
c_3949;4176.83;103;40.551747572815536;48;2021-05-05 17:02:34.144072;2023-02-17 08:06:03.586999;False
c_1938;4175.72;276;15.129420289855073;116;2021-03-01 19:59:20.273823;2023-02-24 02:18:04.533867;False
c_1744;4174.97;324;12.88570987654321;128;2021-03-12 14:57:57.706527;2023-02-06 13:55:03.658586;False
c_8048;4167.32;321;12.982305295950155;134;2021-03-02 03:57:19.719409;2023-02-22 09:23:07.329457;False
c_8303;4160.17;282;14.752375886524822;115;2021-03-01 18:23:50.217863;2023-02-21 13:03:57.282248;False
c_110;4156.41;309;13.45116504854369;120;2021-03-01 11:54:41.426030;2023-02-20 07:55:58.725646;False
c_6969;4155.95;325;12.78753846153846;154;2021-03-11 07:11:58.913476;2023-02-23 22:01:45.685536;False
c_4661;4152.8;348;11.933333333333334;123;2021-03-10 07:35:24.098082;2023-02-27 18:35:47.795520;False
c_1074;4152.2699999999995;319;13.016520376175547;120;2021-03-01 17:32:41.647159;2023-02-27 19:11:46.199734;False
c_3991;4146.13;309;13.41789644012945;133;2021-03-15 19:05:06.098073;2023-02-18 13:48:46.157829;False
c_3090;4138.08;315;13.136761904761904;127;2021-03-11 18:17:38.907095;2023-02-21 21:41:58.596927;False
c_5800;4135.39;78;53.017820512820514;47;2021-04-15 21:58:47.637601;2023-02-15 21:58:47.637601;False
c_7235;4131.95;307;13.459120521172638;125;2021-03-05 15:23:10.324550;2023-02-27 08:32:33.764266;False
c_1482;4130.71;280;14.752535714285715;105;2021-03-16 09:08:03.311426;2023-02-27 10:36:14.591495;False
c_682;4129.64;332;12.438674698795182;161;2021-03-18 10:13:00.040622;2023-02-28 12:24:42.005532;False
c_8574;4125.66;310;13.30858064516129;134;2021-03-06 10:27:57.979560;2023-02-13 00:54:49.057153;False
c_5922;4124.62;331;12.461087613293051;134;2021-03-05 00:34:03.773474;2023-02-26 01:57:02.438348;False
c_5278;4114.41;90;45.715666666666664;34;2021-03-05 15:19:39.145897;2023-02-28 03:21:02.631094;False
c_7348;4103.55;86;47.71569767441861;49;2021-03-12 01:11:32.494360;2023-02-12 14:07:36.367493;False
c_2520;4098.19;55;74.51254545454545;41;2021-04-06 00:59:10.150391;2023-02-17 23:17:09.938717;False
c_1734;4095.88;301;13.607574750830565;119;2021-03-11 12:19:56.290595;2023-02-26 15:41:11.996207;False
c_6983;4095.63;354;11.569576271186442;144;2021-03-01 00:36:20.881986;2023-02-27 23:02:00.214101;False
c_4156;4093.27;288;14.212743055555556;108;2021-03-01 17:02:51.461560;2023-02-16 20:47:57.763745;False
c_3013;4081.65;118;34.590254237288136;44;2021-04-23 01:09:10.418220;2023-02-23 01:09:10.418220;False
c_5948;4081.6;280;14.577142857142857;134;2021-03-03 23:58:34.881432;2023-02-24 03:47:13.031677;False
c_5405;4081.2599999999998;310;13.165354838709677;128;2021-03-03 05:02:48.710591;2023-02-28 23:32:56.257778;False
c_7961;4079.44;321;12.708535825545171;132;2021-03-10 11:44:42.083429;2023-02-27 15:26:19.380996;False
c_131;4079.23;322;12.668416149068323;138;2021-03-01 04:26:08.233363;2023-02-27 03:14:26.771294;False
c_1367;4069.2;294;13.84081632653061;123;2021-03-13 12:05:42.111794;2023-02-23 06:08:04.525039;False
c_5841;4065.41;65;62.54476923076923;49;2021-04-02 05:02:07.273701;2023-02-09 11:56:14.911032;False
c_605;4059.52;331;12.26441087613293;133;2021-03-02 08:11:13.196830;2023-02-21 12:27:04.022609;False
c_283;4057.89;92;44.1075;55;2021-03-08 13:27:26.878586;2023-02-26 21:06:04.717232;False
c_8526;4051.43;237;17.09464135021097;167;2021-03-03 22:36:52.427715;2023-02-21 08:02:10.144495;False
c_2380;4048.96;310;13.06116129032258;125;2021-03-01 21:53:37.923503;2023-02-19 08:21:39.484216;False
c_5062;4034.93;320;12.60915625;132;2021-03-01 06:42:07.283531;2023-02-14 05:29:52.172803;False
c_2811;4031.09;315;12.797111111111112;122;2021-03-05 06:11:25.677283;2023-02-28 19:34:13.804103;False
c_1006;4029.97;299;13.478160535117055;129;2021-03-09 19:16:13.573155;2023-02-18 22:25:47.822205;False
c_4645;4028.2799999999997;284;14.184084507042252;120;2021-03-10 12:23:23.601563;2023-02-27 09:24:46.665151;False
c_2364;4027.67;117;34.42452991452991;56;2021-03-16 10:46:57.137563;2023-02-20 09:26:45.952129;False
c_3011;4022.55;78;51.57115384615385;54;2021-03-08 17:02:56.470200;2023-02-26 16:25:37.522193;False
c_6007;4020.5499999999997;289;13.911937716262974;109;2021-03-01 13:57:48.825018;2023-02-22 14:43:03.650621;False
c_6936;4018.4;284;14.149295774647888;117;2021-03-09 06:28:16.655670;2023-02-27 06:47:27.480728;False
c_6289;4014.68;300;13.382266666666666;115;2021-03-05 03:51:25.408060;2023-02-19 15:04:44.749386;False
c_217;4012.5;51;78.67647058823529;42;2021-03-26 02:08:28.509724;2023-02-14 22:29:12.724036;False
c_572;4008.73;287;13.967700348432055;125;2021-03-01 10:48:43.876904;2023-02-27 12:46:58.583357;False
c_407;4004.75;75;53.39666666666667;47;2021-03-14 11:21:27.101792;2023-02-25 15:30:55.334859;False
c_7047;4003.89;326;12.281871165644171;127;2021-03-10 05:44:28.607904;2023-02-12 21:22:59.405874;False
c_6726;3993.99;301;13.26906976744186;116;2021-03-03 18:21:11.284632;2023-02-26 02:31:19.751932;False
c_527;3991.2;304;13.128947368421052;124;2021-03-02 15:32:43.034377;2023-02-28 11:02:21.031353;False
c_5133;3988.95;69;57.81086956521739;46;2021-03-13 06:23:08.875662;2023-02-19 04:33:32.960987;False
c_1478;3985.74;295;13.510983050847457;119;2021-03-01 01:32:47.336658;2023-02-27 23:25:57.912691;False
c_3738;3976.97;70;56.81385714285714;41;2021-03-04 20:42:39.605432;2023-02-24 23:03:10.942287;False
c_6436;3975.38;65;61.15969230769231;42;2021-03-19 07:21:52.260615;2023-02-27 15:47:41.260171;False
c_4120;3971.74;319;12.450595611285266;130;2021-03-07 03:51:44.408442;2023-02-21 05:17:06.862806;False
c_332;3961.86;316;12.53753164556962;118;2021-03-03 00:31:57.443040;2023-02-09 08:28:17.591706;False
c_7728;3958.58;319;12.409341692789969;138;2021-03-07 13:13:30.991928;2023-02-20 01:29:27.550748;False
c_2039;3952.33;315;12.547079365079364;134;2021-03-01 01:25:36.177526;2023-02-26 12:50:35.755136;False
c_6173;3948.43;77;51.27831168831169;63;2021-03-22 14:10:13.897999;2023-02-22 14:10:13.897999;False
c_4492;3944.71;312;12.643301282051283;128;2021-03-01 21:12:44.935665;2023-02-18 12:30:51.225940;False
c_6266;3929.16;287;13.690452961672474;106;2021-03-18 02:27:10.391876;2023-02-27 07:45:19.831690;False
c_8136;3925.89;317;12.384511041009464;134;2021-03-11 20:40:34.866837;2023-02-18 00:30:15.015879;False
c_4865;3924.24;282;13.915744680851063;123;2021-03-03 05:43:01.948019;2023-02-12 05:11:19.606370;False
c_6337;3920.31;72;54.44875;40;2021-03-16 16:40:57.519326;2023-02-13 20:15:51.224810;False
c_2020;3919.6;291;13.469415807560138;111;2021-03-05 14:55:00.444866;2023-02-28 01:15:14.930526;False
c_6696;3914.69;93;42.093440860215054;50;2021-03-10 23:52:38.224645;2023-02-28 13:17:52.762337;False
c_7646;3913.63;284;13.780387323943662;109;2021-03-17 01:52:21.680015;2023-02-24 16:24:47.573168;False
c_2791;3912.0299999999997;64;61.125468749999996;33;2021-03-12 09:33:47.878649;2023-02-08 05:27:57.278311;False
c_6991;3909.5;282;13.863475177304965;131;2021-03-03 13:39:04.404789;2023-02-28 22:19:32.086466;False
c_2917;3896.0299999999997;269;14.483382899628252;113;2021-03-02 06:20:53.801130;2023-02-25 15:41:06.531544;False
c_4167;3895.47;287;13.573066202090592;101;2021-03-10 11:57:01.737285;2023-02-08 23:30:38.316683;False
c_5104;3894.4;299;13.0247491638796;136;2021-03-11 19:24:31.129326;2023-02-21 10:20:43.861124;False
c_7683;3889.0499999999997;312;12.464903846153845;128;2021-03-02 19:08:55.816432;2023-02-27 08:17:11.998630;False
c_4904;3882.74;291;13.34274914089347;115;2021-03-03 05:04:21.694899;2023-02-27 03:54:33.944659;False
c_2493;3881.81;98;39.61030612244898;42;2021-03-16 22:58:46.871204;2023-02-12 17:48:01.576527;False
c_2627;3878.7599999999998;106;36.59207547169811;70;2021-03-01 00:59:26.743244;2023-02-14 00:42:32.885213;False
c_5627;3878.52;77;50.37038961038961;31;2021-04-03 11:36:18.557764;2023-02-24 06:10:02.983494;False
c_6895;3859.66;299;12.908561872909699;134;2021-03-10 23:23:45.124063;2023-02-27 23:16:58.820624;False
c_2076;3855.5099999999998;287;13.43383275261324;121;2021-03-11 10:02:00.966548;2023-02-21 10:38:57.588617;False
c_4788;3850.25;288;13.36892361111111;126;2021-03-01 12:53:59.840623;2023-02-20 19:12:16.314002;False
c_2525;3849.61;269;14.310817843866172;116;2021-03-17 22:48:39.469054;2023-02-26 09:40:09.059109;False
c_5645;3847.17;79;48.698354430379744;50;2021-03-09 23:49:47.892275;2023-02-18 04:10:08.771113;False
c_4798;3845.52;288;13.3525;111;2021-03-04 18:33:05.301135;2023-02-27 07:22:12.387853;False
c_7267;3841.88;311;12.35331189710611;110;2021-03-14 18:31:23.490844;2023-02-27 18:00:12.261227;False
c_7338;3840.74;303;12.675709570957094;121;2021-03-10 04:35:41.054594;2023-02-26 02:58:31.676930;False
c_554;3840.54;292;13.152534246575343;110;2021-03-06 04:04:41.230493;2023-02-26 10:53:41.876930;False
c_7212;3837.0899999999997;271;14.159003690036899;131;2021-03-01 16:12:10.470014;2023-02-26 08:45:56.922657;False
c_1560;3832.84;65;58.96676923076923;44;2021-03-30 10:10:40.054341;2023-02-28 13:50:29.384866;False
c_7198;3827.24;219;17.475981735159817;129;2021-03-10 20:50:14.512840;2023-02-27 17:16:58.460670;False
c_7799;3825.36;326;11.734233128834356;142;2021-03-02 21:34:17.090112;2023-02-14 04:43:19.060646;False
c_5212;3824.46;301;12.705847176079734;138;2021-03-01 11:59:30.645433;2023-02-21 17:17:42.801605;False
c_7526;3821.68;295;12.954847457627118;119;2021-03-03 08:32:02.717244;2023-02-28 23:18:42.147202;False
c_7388;3821.5699999999997;281;13.599893238434163;117;2021-03-08 19:03:00.142385;2023-02-23 11:58:42.567634;False
c_3969;3821.38;91;41.99318681318682;61;2021-03-07 07:37:30.614511;2023-02-15 11:12:23.294455;False
c_2898;3819.85;99;38.58434343434343;38;2021-04-19 18:47:19.843958;2023-02-19 06:07:36.184330;False
c_3433;3817.72;290;13.16455172413793;133;2021-03-09 15:24:08.788071;2023-02-17 04:25:36.168414;False
c_5977;3814.02;292;13.061712328767124;125;2021-03-09 19:18:14.435075;2023-02-25 22:55:13.463780;False
c_611;3809.41;301;12.655847176079734;123;2021-03-13 03:54:10.356296;2023-02-10 05:13:06.179057;False
c_2469;3806.01;55;69.20018181818182;25;2021-04-12 12:29:14.664470;2023-02-16 06:18:45.954099;False
c_2234;3799.81;96;39.581354166666664;34;2021-04-26 03:08:39.743140;2023-02-14 11:12:35.293019;False
c_6005;3796.24;311;12.206559485530546;136;2021-03-03 10:49:54.956079;2023-02-18 05:12:21.007978;False
c_6367;3793.45;307;12.356514657980455;134;2021-03-05 14:33:23.427295;2023-02-26 01:50:01.267986;False
c_2569;3783.97;302;12.529701986754967;141;2021-03-04 10:03:10.734178;2023-02-26 21:57:24.009392;False
c_6423;3779.5099999999998;272;13.895257352941176;123;2021-03-10 23:55:21.021699;2023-02-10 14:01:10.180928;False
c_4209;3772.23;315;11.975333333333333;138;2021-03-01 18:14:30.499572;2023-02-21 16:38:11.091802;False
c_359;3771.32;280;13.469000000000001;105;2021-03-14 19:50:54.987879;2023-02-11 11:54:07.091185;False
c_1338;3767.48;314;11.998343949044585;117;2021-03-03 17:49:06.148756;2023-02-18 07:09:36.765025;False
c_4474;3765.38;293;12.851126279863482;116;2021-03-12 12:26:45.261183;2023-02-23 16:51:51.355744;False
c_2031;3765.15;283;13.304416961130743;104;2021-03-10 14:58:52.313473;2023-02-23 21:49:20.523318;False
c_4443;3764.91;270;13.944111111111111;120;2021-03-06 13:16:05.406260;2023-02-27 00:49:18.314599;False
c_5357;3762.24;278;13.533237410071942;115;2021-03-03 00:42:38.834090;2023-02-20 01:38:21.638760;False
c_6182;3760.52;272;13.825441176470589;119;2021-03-01 14:09:03.799501;2023-02-18 12:08:03.130746;False
c_6075;3757.0;293;12.822525597269625;116;2021-03-17 21:53:50.051335;2023-02-16 22:06:32.149209;False
c_4784;3756.91;294;12.77860544217687;131;2021-03-06 10:28:27.344339;2023-02-25 23:39:24.627509;False
c_6003;3755.74;263;14.280380228136881;113;2021-03-01 23:12:29.239977;2023-02-26 20:54:59.088125;False
c_659;3747.99;87;43.0803448275862;44;2021-03-07 04:54:33.733375;2023-02-20 04:11:41.063605;False
c_2308;3743.0299999999997;282;13.273156028368794;108;2021-03-13 05:31:20.707473;2023-02-19 21:02:21.632595;False
c_6872;3738.44;292;12.802876712328768;134;2021-03-05 16:08:07.076708;2023-02-16 03:56:01.448442;False
c_3032;3734.44;277;13.48173285198556;94;2021-03-01 19:47:52.746021;2023-02-18 22:01:42.072909;False
c_3022;3733.31;242;15.42690082644628;93;2021-03-02 05:58:37.515586;2023-02-27 16:12:58.738407;False
c_4159;3729.2599999999998;273;13.66029304029304;87;2021-03-07 22:44:52.186830;2023-02-21 21:52:30.369759;False
c_1025;3727.89;261;14.283103448275861;119;2021-03-03 05:26:54.823411;2023-01-28 10:36:14.343722;False
c_867;3727.42;283;13.171095406360424;100;2021-03-02 14:07:45.048622;2023-02-26 21:25:36.094862;False
c_2051;3727.2;58;64.26206896551724;42;2021-03-19 18:16:47.627985;2023-02-27 04:01:16.310506;False
c_4687;3720.81;81;45.93592592592592;58;2021-03-05 01:57:27.854032;2023-02-07 07:49:14.725943;False
c_4262;3720.46;298;12.48476510067114;125;2021-03-06 20:13:37.631530;2023-02-24 17:09:23.927800;False
c_1399;3718.62;88;42.257045454545455;45;2021-04-15 17:35:47.463460;2023-02-24 06:55:31.268425;False
c_4256;3715.64;69;53.84985507246377;42;2021-03-11 23:22:38.087413;2023-02-09 18:55:05.717738;False
c_8172;3713.83;289;12.850622837370242;123;2021-03-20 23:46:33.647758;2023-02-26 08:28:00.070551;False
c_2313;3711.96;66;56.24181818181818;40;2021-03-25 02:23:52.505212;2023-02-27 19:24:33.496485;False
c_7779;3708.79;265;13.995433962264151;128;2021-03-04 10:40:33.107206;2023-02-12 21:54:32.178645;False
c_2786;3708.2599999999998;262;14.153664122137403;113;2021-03-03 22:34:26.687854;2023-02-28 17:12:01.438923;False
c_6635;3704.54;266;13.926842105263157;111;2021-03-09 05:00:01.320351;2023-02-25 16:45:06.097116;False
c_4089;3702.12;287;12.899372822299652;106;2021-03-08 07:49:11.010368;2023-02-16 16:17:19.351887;False
c_1239;3697.69;272;13.594448529411764;116;2021-03-13 07:05:20.528565;2023-02-26 03:16:34.480140;False
c_6923;3692.49;275;13.427236363636363;102;2021-03-09 00:13:09.825721;2023-02-20 10:02:16.627098;False
c_4677;3690.56;265;13.926641509433962;121;2021-03-02 13:35:41.346989;2023-02-25 17:20:03.216848;False
c_1371;3685.41;260;14.174653846153845;108;2021-03-08 03:38:58.999875;2023-02-20 00:44:14.014734;False
c_4101;3682.32;281;13.104341637010677;115;2021-03-03 07:55:24.230327;2023-02-28 17:43:25.441570;False
c_7499;3680.54;305;12.067344262295082;139;2021-03-01 20:32:44.233293;2023-02-24 13:00:21.471912;False
c_56;3674.83;233;15.771802575107296;88;2021-03-03 06:57:49.669510;2023-02-19 23:32:26.039788;False
c_2242;3672.07;266;13.804774436090225;123;2021-03-15 18:23:52.394248;2023-02-27 14:17:40.174487;False
c_4557;3670.15;261;14.061877394636015;115;2021-03-10 17:33:44.271990;2023-02-28 07:19:42.373544;False
c_2298;3667.68;297;12.349090909090908;121;2021-03-09 19:26:03.989815;2023-02-17 17:12:17.078631;False
c_2589;3664.47;74;49.519864864864864;42;2021-03-19 11:56:26.869570;2023-02-09 02:10:19.603086;False
c_7269;3664.21;276;13.276123188405798;114;2021-03-12 01:17:03.876890;2023-02-25 14:48:23.315998;False
c_7245;3659.7999999999997;235;15.573617021276595;104;2021-03-05 11:23:06.837420;2023-02-23 06:08:20.893960;False
