client_id;montant_total;panier_moyen;frequence_achat;categorie_preferee;sexe;age;tranche_age
c_1061;855.55;13.162307692307692;65;0.0;m;33.0;25-35
c_1062;674.73;12.730754716981133;53;0.0;m;38.0;35-45
c_1063;2562.3199999999997;18.302285714285713;140;1.0;m;85.0;65+
c_1064;2138.32;45.49617021276596;47;2.0;m;26.0;25-35
c_1065;1124.66;41.654074074074074;27;2.0;m;20.0;<25
c_1066;669.03;17.606052631578947;38;0.0;m;23.0;<25
c_1067;2514.48;11.91696682464455;211;0.0;f;37.0;35-45
c_1068;678.48;11.308;60;0.0;m;42.0;35-45
c_1069;514.1800000000001;73.45428571428572;7;1.0;f;26.0;25-35
c_107;1819.43;13.378161764705883;136;0.0;f;40.0;35-45
c_1070;731.2;15.557446808510639;47;0.0;f;68.0;65+
c_1071;1156.3999999999999;14.276543209876541;81;0.0;m;45.0;35-45
c_1072;1366.86;14.091340206185565;97;0.0;f;38.0;35-45
c_1073;269.84;13.491999999999999;20;0.0;f;63.0;55-65
c_1074;4152.2699999999995;13.016520376175547;319;0.0;f;46.0;45-55
c_1075;1658.22;19.281627906976745;86;1.0;m;53.0;45-55
c_1076;382.90999999999997;13.675357142857141;28;1.0;f;59.0;55-65
c_1077;3113.73;13.42125;232;0.0;f;39.0;35-45
c_1078;669.88;17.176410256410257;39;0.0;f;59.0;55-65
c_1079;160.88;14.625454545454545;11;0.0;f;41.0;35-45
c_108;996.61;13.467702702702702;74;0.0;f;43.0;35-45
c_1080;885.92;17.7184;50;1.0;f;55.0;45-55
c_1081;1729.04;19.211555555555556;90;1.0;m;60.0;55-65
c_1082;113.94;12.66;9;1.0;m;82.0;65+
c_1083;734.36;12.239333333333333;60;0.0;f;38.0;35-45
c_1084;1203.98;11.689126213592234;103;0.0;f;37.0;35-45
c_1085;851.24;15.763703703703705;54;0.0;m;43.0;35-45
c_1086;409.6;9.990243902439024;41;0.0;m;43.0;35-45
c_1087;1721.72;13.043333333333333;132;0.0;m;45.0;35-45
c_1088;590.47;45.42076923076923;13;2.0;f;20.0;<25
c_1089;271.83;15.989999999999998;17;0.0;m;53.0;45-55
c_109;415.19;59.31285714285714;7;2.0;f;20.0;<25
c_1090;208.01999999999998;16.00153846153846;13;1.0;f;54.0;45-55
c_1091;3054.2799999999997;12.94186440677966;236;0.0;f;45.0;35-45
c_1092;539.71;11.993555555555556;45;0.0;f;52.0;45-55
c_1093;492.25;30.765625;16;1.0;f;31.0;25-35
c_1094;1178.79;33.67971428571428;35;1.0;f;20.0;<25
c_1095;1768.01;14.031825396825397;126;0.0;f;33.0;25-35
c_1096;2186.16;39.748363636363635;55;1.0;f;25.0;<25
c_1097;552.31;17.816451612903226;31;1.0;m;71.0;65+
c_1098;1313.85;11.626991150442477;113;0.0;m;38.0;35-45
c_1099;970.0699999999999;18.655192307692307;52;1.0;f;68.0;65+
c_11;785.27;16.359791666666666;48;0.0;f;68.0;65+
c_110;4156.41;13.45116504854369;309;0.0;m;49.0;45-55
c_1100;2081.39;40.81156862745098;51;1.0;m;27.0;25-35
c_1101;1421.12;50.75428571428571;28;2.0;m;21.0;<25
c_1102;1683.44;13.912727272727274;121;0.0;f;40.0;35-45
c_1103;555.48;50.49818181818182;11;2.0;m;21.0;<25
c_1104;2700.79;12.620514018691589;214;0.0;f;50.0;45-55
c_1105;844.47;17.234081632653062;49;0.0;m;20.0;<25
c_1106;573.55;12.745555555555555;45;0.0;f;35.0;25-35
c_1107;502.84;26.465263157894736;19;1.0;m;32.0;25-35
c_1108;179.01;10.53;17;0.0;m;47.0;45-55
c_1109;1161.43;35.194848484848485;33;0.0;f;26.0;25-35
c_111;632.02;25.2808;25;1.0;m;31.0;25-35
c_1110;3605.1;12.220677966101695;295;0.0;f;40.0;35-45
c_1111;1420.6399999999999;33.8247619047619;42;0.0;f;20.0;<25
c_1112;1423.73;13.061743119266055;109;0.0;f;37.0;35-45
c_1113;989.3399999999999;15.220615384615384;65;0.0;m;52.0;45-55
c_1114;555.56;12.077391304347826;46;0.0;f;46.0;45-55
c_1115;1834.12;13.586074074074073;135;0.0;f;42.0;35-45
c_1116;312.56;39.07;8;2.0;f;28.0;25-35
c_1117;364.82;30.401666666666667;12;1.0;f;32.0;25-35
c_1118;3553.5499999999997;11.650983606557377;305;0.0;m;48.0;45-55
c_1119;386.65999999999997;14.320740740740739;27;0.0;f;64.0;55-65
c_112;790.54;13.398983050847457;59;0.0;f;52.0;45-55
c_1120;1370.28;12.806355140186916;107;0.0;m;43.0;35-45
c_1121;786.51;20.166923076923077;39;1.0;m;63.0;55-65
c_1122;1838.84;15.583389830508473;118;1.0;m;64.0;55-65
c_1123;1134.51;17.72671875;64;0.0;f;45.0;35-45
c_1124;809.73;13.960862068965518;58;0.0;f;74.0;65+
c_1125;1159.07;17.29955223880597;67;0.0;f;52.0;45-55
c_1126;1304.6299999999999;15.170116279069767;86;0.0;m;56.0;55-65
c_1127;1124.55;35.1421875;32;2.0;m;29.0;25-35
c_1128;779.62;14.992692307692307;52;1.0;f;61.0;55-65
c_1129;574.34;14.00829268292683;41;0.0;f;40.0;35-45
c_113;1170.11;14.097710843373493;83;0.0;m;50.0;45-55
c_1130;1697.45;15.71712962962963;108;0.0;f;45.0;35-45
c_1131;1531.3700000000001;56.717407407407414;27;1.0;m;20.0;<25
c_1132;1052.34;16.973225806451612;62;0.0;m;46.0;45-55
c_1133;2015.76;13.08935064935065;154;0.0;f;48.0;45-55
c_1134;234.06;29.2575;8;1.0;m;20.0;<25
c_1135;256.34;17.089333333333332;15;0.0;f;58.0;55-65
c_1136;629.0;13.104166666666666;48;0.0;f;87.0;65+
c_1137;1655.76;17.2475;96;1.0;m;81.0;65+
c_1138;2794.7;12.703181818181818;220;0.0;f;47.0;45-55
c_1139;2605.77;13.934598930481283;187;0.0;m;43.0;35-45
c_114;261.63;20.125384615384615;13;0.0;f;20.0;<25
c_1140;502.85999999999996;35.918571428571425;14;1.0;m;21.0;<25
c_1141;126.34;15.7925;8;0.0;f;20.0;<25
c_1142;365.58;19.241052631578945;19;1.0;f;73.0;65+
c_1143;2490.58;50.828163265306124;49;2.0;m;20.0;<25
c_1144;1494.3;13.462162162162162;111;0.0;m;49.0;45-55
c_1145;2314.29;12.442419354838709;186;0.0;m;48.0;45-55
c_1146;536.01;18.483103448275862;29;1.0;m;55.0;45-55
c_1147;873.8299999999999;51.40176470588235;17;2.0;f;26.0;25-35
c_1148;1017.3499999999999;16.95583333333333;60;0.0;m;66.0;65+
c_1149;4244.04;55.117402597402595;77;2.0;f;24.0;<25
c_115;187.85;12.523333333333333;15;0.0;f;45.0;35-45
c_1150;713.64;14.56408163265306;49;0.0;m;47.0;45-55
c_1151;1842.86;16.753272727272726;110;1.0;f;68.0;65+
c_1152;1684.21;12.293503649635037;137;0.0;m;42.0;35-45
c_1153;1866.44;14.24763358778626;131;0.0;m;46.0;45-55
c_1154;1518.15;12.651250000000001;120;0.0;f;38.0;35-45
c_1155;496.42;11.81952380952381;42;0.0;f;73.0;65+
c_1156;1129.08;13.93925925925926;81;1.0;f;66.0;65+
c_1157;175.06;12.504285714285714;14;0.0;f;59.0;55-65
c_1158;1270.44;52.935;24;2.0;f;32.0;25-35
c_1159;601.8;75.225;8;2.0;f;28.0;25-35
c_116;1916.6599999999999;28.60686567164179;67;0.0;f;28.0;25-35
c_1160;332.2;11.864285714285714;28;0.0;m;39.0;35-45
c_1161;262.68;16.4175;16;0.0;m;53.0;45-55
c_1162;559.9;17.496875;32;0.0;f;66.0;65+
c_1163;595.03;19.19451612903226;31;1.0;f;71.0;65+
c_1164;418.79;12.317352941176472;34;0.0;f;74.0;65+
c_1165;1069.59;14.651917808219176;73;1.0;f;59.0;55-65
c_1166;657.59;13.151800000000001;50;0.0;m;43.0;35-45
c_1167;1267.45;13.628494623655914;93;0.0;f;47.0;45-55
c_1168;2142.5;15.52536231884058;138;0.0;m;35.0;25-35
c_1169;3448.11;66.3098076923077;52;2.0;m;27.0;25-35
c_117;1702.34;13.19643410852713;129;0.0;f;36.0;35-45
c_1170;1091.77;13.314268292682927;82;0.0;m;36.0;35-45
c_1171;278.81;13.9405;20;0.0;m;89.0;65+
c_1172;1781.06;49.47388888888889;36;2.0;f;30.0;25-35
c_1173;1657.03;35.25595744680851;47;1.0;m;28.0;25-35
c_1174;365.78;17.418095238095237;21;1.0;m;55.0;45-55
c_1175;557.26;13.59170731707317;41;0.0;f;53.0;45-55
c_1176;724.22;36.211;20;2.0;m;23.0;<25
c_1177;3251.1;13.546249999999999;240;0.0;f;47.0;45-55
c_1178;2888.32;12.780176991150443;226;0.0;m;40.0;35-45
c_1179;1717.67;23.211756756756756;74;0.0;m;22.0;<25
c_118;855.43;15.007543859649122;57;0.0;f;51.0;45-55
c_1180;313.67;15.6835;20;0.0;f;60.0;55-65
c_1181;848.13;49.89;17;2.0;m;22.0;<25
c_1182;792.81;12.38765625;64;0.0;m;40.0;35-45
c_1183;3150.09;12.45094861660079;253;0.0;m;45.0;35-45
c_1184;346.38;18.230526315789472;19;1.0;f;66.0;65+
c_1185;1158.29;46.3316;25;2.0;m;20.0;<25
c_1186;1809.97;75.41541666666667;24;2.0;f;28.0;25-35
c_1187;687.6099999999999;40.44764705882352;17;1.0;f;22.0;<25
c_1188;567.59;22.7036;25;1.0;f;77.0;65+
c_1189;2316.29;13.625235294117648;170;0.0;m;39.0;35-45
c_119;3058.51;40.24355263157895;76;2.0;f;20.0;<25
c_1190;1744.11;14.06540322580645;124;0.0;m;49.0;45-55
c_1191;1926.16;38.5232;50;2.0;f;26.0;25-35
c_1192;1611.56;51.9858064516129;31;2.0;f;28.0;25-35
c_1193;1968.58;14.265072463768115;138;0.0;f;34.0;25-35
c_1194;2176.06;90.66916666666667;24;2.0;f;25.0;<25
c_1195;695.96;16.974634146341465;41;1.0;m;59.0;55-65
c_1196;1873.08;13.098461538461539;143;0.0;m;44.0;35-45
c_1197;1926.56;20.94086956521739;92;0.0;m;49.0;45-55
c_1198;539.36;28.38736842105263;19;1.0;f;31.0;25-35
c_1199;2277.72;13.477633136094674;169;0.0;f;34.0;25-35
c_12;146.27;24.378333333333334;6;0.0;f;70.0;65+
c_120;1173.59;18.055230769230768;65;0.0;f;26.0;25-35
c_1200;2819.2;13.29811320754717;212;0.0;m;45.0;35-45
c_1201;350.1;12.966666666666667;27;0.0;m;33.0;25-35
c_1202;1516.23;13.184608695652175;115;0.0;m;46.0;45-55
c_1203;1307.9099999999999;54.496249999999996;24;2.0;f;31.0;25-35
c_1204;551.03;21.193461538461538;26;1.0;f;65.0;55-65
c_1205;656.18;41.01125;16;2.0;f;32.0;25-35
c_1206;266.57;19.040714285714284;14;1.0;f;56.0;55-65
c_1207;1311.02;15.06919540229885;87;0.0;f;61.0;55-65
c_1208;1709.11;17.99063157894737;95;1.0;m;90.0;65+
c_1209;306.68;15.334;20;0.0;m;53.0;45-55
c_121;379.95;14.613461538461538;26;0.0;m;54.0;45-55
c_1210;285.73;35.71625;8;1.0;m;27.0;25-35
c_1211;177.48999999999998;16.135454545454543;11;1.0;m;61.0;55-65
c_1212;1907.51;13.246597222222222;144;0.0;m;50.0;45-55
c_1213;1095.02;19.909454545454544;55;0.0;f;85.0;65+
c_1214;1671.32;11.853333333333333;141;0.0;f;49.0;45-55
c_1215;1056.98;12.435058823529411;85;0.0;f;44.0;35-45
c_1216;1334.36;14.82622222222222;90;0.0;m;71.0;65+
c_1217;913.9;19.867391304347827;46;1.0;f;79.0;65+
c_1218;1412.34;16.81357142857143;84;0.0;m;48.0;45-55
c_1219;135.3;13.530000000000001;10;0.0;f;67.0;65+
c_122;2208.48;13.224431137724551;167;0.0;m;44.0;35-45
c_1220;898.4499999999999;16.335454545454546;55;1.0;f;74.0;65+
c_1221;2305.71;12.531032608695652;184;0.0;f;50.0;45-55
c_1222;1386.94;11.854188034188034;117;0.0;f;43.0;35-45
c_1224;641.38;17.334594594594595;37;1.0;f;69.0;65+
c_1225;936.06;11.70075;80;0.0;f;37.0;35-45
c_1226;2037.32;46.302727272727275;44;2.0;f;32.0;25-35
c_1227;475.11;17.596666666666668;27;1.0;f;70.0;65+
c_1228;949.31;13.37056338028169;71;0.0;f;38.0;35-45
c_1229;3190.2799999999997;12.609802371541502;253;0.0;f;50.0;45-55
c_123;585.31;13.302499999999998;44;0.0;f;59.0;55-65
c_1230;1682.72;22.73945945945946;74;0.0;m;31.0;25-35
c_1231;2692.22;46.41758620689655;58;2.0;m;21.0;<25
c_1232;39.7;19.85;2;0.0;f;64.0;55-65
c_1233;742.58;16.876818181818184;44;1.0;f;54.0;45-55
c_1234;569.14;18.971333333333334;30;1.0;f;73.0;65+
c_1235;464.53;11.91102564102564;39;0.0;m;39.0;35-45
c_1236;894.5699999999999;12.088783783783782;74;0.0;m;37.0;35-45
c_1237;2103.79;47.81340909090909;44;1.0;f;25.0;<25
c_1238;693.24;17.331;40;0.0;f;65.0;55-65
c_1239;3697.69;13.594448529411764;272;0.0;m;39.0;35-45
c_124;939.47;16.77625;56;0.0;m;31.0;25-35
c_1240;4225.63;59.515915492957745;71;2.0;m;21.0;<25
c_1241;746.9499999999999;17.784523809523808;42;1.0;m;67.0;65+
c_1242;648.25;13.792553191489361;47;0.0;f;44.0;35-45
c_1243;1259.35;12.226699029126213;103;0.0;m;41.0;35-45
c_1244;1509.6499999999999;58.06346153846153;26;2.0;f;32.0;25-35
c_1245;1144.73;13.310813953488372;86;0.0;m;35.0;25-35
c_1246;1612.9099999999999;44.80305555555555;36;1.0;m;24.0;<25
c_1247;2030.46;13.81265306122449;147;0.0;f;43.0;35-45
c_1248;807.77;20.19425;40;1.0;f;66.0;65+
c_1249;2012.72;15.973968253968254;126;1.0;f;65.0;55-65
c_125;1006.76;52.98736842105263;19;0.0;m;22.0;<25
c_1250;2356.02;12.465714285714286;189;0.0;f;45.0;35-45
c_1251;526.34;14.225405405405406;37;0.0;f;35.0;25-35
c_1252;3594.62;12.438131487889272;289;0.0;m;49.0;45-55
c_1253;1429.89;18.814342105263158;76;1.0;f;57.0;55-65
c_1254;725.1;14.21764705882353;51;0.0;m;70.0;65+
c_1255;1418.55;12.779729729729729;111;0.0;m;36.0;35-45
c_1256;603.6999999999999;13.720454545454544;44;0.0;f;58.0;55-65
c_1257;1352.6699999999998;17.341923076923074;78;0.0;m;47.0;45-55
c_1258;861.68;23.288648648648646;37;0.0;m;24.0;<25
c_1259;1310.05;12.718932038834952;103;0.0;m;46.0;45-55
c_126;345.31;19.183888888888887;18;1.0;f;53.0;45-55
c_1260;932.72;17.936923076923076;52;0.0;m;69.0;65+
c_1261;3447.31;12.181307420494699;283;0.0;m;39.0;35-45
c_1262;2688.77;44.07819672131148;61;2.0;f;28.0;25-35
c_1263;348.44;18.338947368421053;19;1.0;f;60.0;55-65
c_1264;795.39;14.203392857142857;56;0.0;m;51.0;45-55
c_1265;1901.25;19.600515463917525;97;1.0;m;62.0;55-65
c_1266;1448.0;13.660377358490566;106;0.0;f;49.0;45-55
c_1267;588.0;12.51063829787234;47;0.0;f;50.0;45-55
c_1268;509.88;13.417894736842106;38;0.0;f;49.0;45-55
c_1269;584.9;58.489999999999995;10;2.0;m;24.0;<25
c_127;692.25;14.421875;48;0.0;m;36.0;35-45
c_1270;126.13999999999999;31.534999999999997;4;1.0;m;57.0;55-65
c_1271;747.85;28.763461538461538;26;0.0;m;27.0;25-35
c_1272;1469.82;13.998285714285714;105;0.0;f;39.0;35-45
c_1273;915.46;15.007540983606559;61;0.0;f;29.0;25-35
c_1274;1754.29;16.09440366972477;109;1.0;f;56.0;55-65
c_1275;1039.33;18.233859649122806;57;1.0;f;60.0;55-65
c_1276;244.7;12.878947368421052;19;0.0;m;59.0;55-65
c_1277;236.73;21.52090909090909;11;1.0;m;29.0;25-35
c_1278;1518.02;11.85953125;128;0.0;m;37.0;35-45
c_1279;3359.54;17.681789473684212;190;1.0;m;60.0;55-65
c_128;1174.45;17.79469696969697;66;0.0;f;77.0;65+
c_1280;674.75;14.057291666666666;48;0.0;m;40.0;35-45
c_1281;734.1899999999999;31.921304347826084;23;0.0;f;29.0;25-35
c_1282;2419.04;37.7975;64;2.0;m;28.0;25-35
c_1283;2461.73;55.94840909090909;44;2.0;f;29.0;25-35
c_1284;982.59;25.194615384615386;39;1.0;f;20.0;<25
c_1285;151.42;12.618333333333332;12;0.0;m;55.0;45-55
c_1286;1970.68;13.59089655172414;145;0.0;f;43.0;35-45
c_1287;132.43;10.186923076923078;13;0.0;f;62.0;55-65
c_1288;521.6899999999999;13.376666666666665;39;0.0;f;42.0;35-45
c_1289;648.36;40.5225;16;2.0;f;31.0;25-35
c_129;1881.4099999999999;16.360086956521737;115;0.0;m;65.0;55-65
c_1290;1782.38;27.8496875;64;0.0;f;27.0;25-35
c_1291;1417.1499999999999;16.289080459770112;87;1.0;m;74.0;65+
c_1292;430.82;11.046666666666667;39;0.0;m;42.0;35-45
c_1293;582.37;14.55925;40;1.0;m;71.0;65+
c_1294;1565.92;17.20791208791209;91;1.0;f;65.0;55-65
c_1295;1085.79;16.205820895522386;67;0.0;m;34.0;25-35
c_1296;1250.27;14.709058823529412;85;0.0;m;44.0;35-45
c_1297;393.94;65.65666666666667;6;2.0;f;23.0;<25
c_1298;1099.04;15.928115942028985;69;0.0;f;60.0;55-65
c_1299;215.01;11.316315789473684;19;0.0;f;49.0;45-55
c_13;2586.3;12.55485436893204;206;0.0;f;42.0;35-45
c_130;565.39;35.336875;16;1.0;m;20.0;<25
c_1300;3509.19;43.32333333333333;81;2.0;f;30.0;25-35
c_1301;903.23;22.03;41;0.0;m;23.0;<25
c_1302;1298.7;49.95;26;1.0;m;32.0;25-35
c_1303;606.69;15.167250000000001;40;0.0;m;37.0;35-45
c_1304;414.75;59.25;7;1.0;m;20.0;<25
c_1305;2204.08;66.79030303030302;33;2.0;m;20.0;<25
c_1306;1844.6499999999999;16.181140350877193;114;1.0;f;75.0;65+
c_1307;773.14;15.4628;50;1.0;f;71.0;65+
c_1308;757.1;13.519642857142857;56;0.0;f;71.0;65+
c_1309;366.59999999999997;16.66363636363636;22;1.0;f;59.0;55-65
c_131;4079.23;12.668416149068323;322;0.0;m;43.0;35-45
c_1310;979.14;12.716103896103895;77;0.0;f;46.0;45-55
c_1311;1715.55;17.1555;100;0.0;m;39.0;35-45
c_1312;602.76;17.728235294117646;34;0.0;f;57.0;55-65
c_1313;623.34;13.852;45;0.0;f;55.0;45-55
c_1314;2473.27;13.817150837988827;179;0.0;m;51.0;45-55
c_1315;1000.89;15.63890625;64;1.0;m;53.0;45-55
c_1316;272.88;16.051764705882352;17;1.0;f;64.0;55-65
c_1317;327.08;23.36285714285714;14;1.0;m;20.0;<25
c_1318;2755.27;14.425497382198953;191;0.0;f;37.0;35-45
c_1319;2547.56;12.073744075829383;211;0.0;m;36.0;35-45
c_132;477.78999999999996;59.723749999999995;8;2.0;f;29.0;25-35
c_1320;2024.6399999999999;31.634999999999998;64;1.0;f;32.0;25-35
c_1321;1030.27;15.610151515151514;66;1.0;f;61.0;55-65
c_1322;239.64000000000001;14.096470588235295;17;1.0;m;72.0;65+
c_1323;308.64;11.022857142857143;28;1.0;f;47.0;45-55
c_1324;506.79999999999995;50.67999999999999;10;2.0;f;25.0;<25
c_1325;227.84;17.526153846153846;13;1.0;m;77.0;65+
c_1326;3033.5699999999997;18.72574074074074;162;1.0;f;66.0;65+
c_1327;1135.59;21.426226415094337;53;1.0;f;75.0;65+
c_1328;445.52;11.724210526315789;38;0.0;m;44.0;35-45
c_1329;414.85999999999996;14.81642857142857;28;0.0;m;27.0;25-35
c_133;335.44;37.27111111111111;9;2.0;m;25.0;<25
c_1330;256.4;12.209523809523809;21;0.0;f;49.0;45-55
c_1331;550.25;55.025;10;2.0;f;23.0;<25
c_1332;2590.85;13.218622448979591;196;0.0;m;41.0;35-45
c_1333;1426.6599999999999;17.18867469879518;83;1.0;f;68.0;65+
c_1334;1050.77;14.010266666666666;75;0.0;m;46.0;45-55
c_1335;1396.8000000000002;69.84;20;2.0;f;24.0;<25
c_1336;1079.06;17.127936507936507;63;1.0;m;66.0;65+
c_1337;395.94;11.998181818181818;33;0.0;m;42.0;35-45
c_1338;3767.48;11.998343949044585;314;0.0;f;37.0;35-45
c_1339;332.4;41.55;8;1.0;f;20.0;<25
c_134;1379.79;14.997717391304347;92;0.0;m;70.0;65+
c_1340;1239.83;37.57060606060606;33;2.0;m;22.0;<25
c_1341;380.58;19.029;20;1.0;f;53.0;45-55
c_1342;1102.58;12.116263736263736;91;0.0;f;44.0;35-45
c_1343;3295.07;13.18028;250;0.0;f;33.0;25-35
c_1344;108.05;15.435714285714285;7;1.0;f;78.0;65+
c_1345;2329.71;12.800604395604395;182;0.0;m;51.0;45-55
c_1346;673.48;13.744489795918367;49;0.0;m;35.0;25-35
c_1347;3493.33;12.843125;272;0.0;m;41.0;35-45
c_1348;562.8399999999999;15.634444444444442;36;0.0;f;27.0;25-35
c_1349;81.63000000000001;11.661428571428573;7;0.0;f;45.0;35-45
c_135;425.65;13.3015625;32;0.0;m;50.0;45-55
c_1350;666.91;19.05457142857143;35;1.0;m;80.0;65+
c_1351;442.65999999999997;17.7064;25;1.0;m;78.0;65+
c_1352;1041.98;15.551940298507462;67;0.0;f;48.0;45-55
c_1353;794.9;39.745;20;1.0;m;27.0;25-35
c_1354;2108.61;60.246;35;1.0;m;30.0;25-35
c_1355;1317.0;16.4625;80;1.0;m;66.0;65+
c_1356;647.25;19.613636363636363;33;1.0;f;83.0;65+
c_1357;612.48;15.312000000000001;40;0.0;f;48.0;45-55
c_1358;1099.06;42.27153846153846;26;2.0;f;20.0;<25
c_1359;418.74;11.317297297297298;37;0.0;f;42.0;35-45
c_136;361.19;18.0595;20;0.0;f;59.0;55-65
c_1360;1643.92;17.30442105263158;95;1.0;f;90.0;65+
c_1361;1383.12;13.831199999999999;100;0.0;f;42.0;35-45
c_1362;261.05;13.0525;20;0.0;m;42.0;35-45
c_1363;516.72;14.763428571428571;35;0.0;m;47.0;45-55
c_1364;1341.43;14.740989010989011;91;0.0;f;36.0;35-45
c_1365;2445.7;13.896022727272726;176;0.0;m;41.0;35-45
c_1366;181.26999999999998;20.14111111111111;9;0.0;m;28.0;25-35
c_1367;4069.2;13.84081632653061;294;0.0;f;40.0;35-45
c_1368;4446.89;13.195519287833829;337;0.0;m;42.0;35-45
c_1369;1434.26;15.936222222222222;90;1.0;f;60.0;55-65
c_137;847.4599999999999;38.520909090909086;22;1.0;f;31.0;25-35
c_1370;1499.23;12.493583333333333;120;0.0;f;44.0;35-45
c_1371;3685.41;14.174653846153845;260;0.0;f;38.0;35-45
c_1372;230.29999999999998;17.715384615384615;13;0.0;f;64.0;55-65
c_1373;290.6;10.37857142857143;28;0.0;m;37.0;35-45
c_1374;433.6;12.38857142857143;35;0.0;m;69.0;65+
c_1375;252.26999999999998;21.022499999999997;12;1.0;m;79.0;65+
c_1376;250.12;16.674666666666667;15;1.0;f;75.0;65+
